"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.011,0.2,0.05,3.4,2.8,4.7,1.4,1.7,1.6
"2","02_M1",0.013,0.17,0.08,3.6,3.1,3.9,1.1,1.3,1.4
"3","03_M2",0.009,0.22,0.04,3.3,2.7,5.8,1.8,2.1,1.8
"4","04_Steep1",0.011,0.16,0.07,4,3.3,4.6,1.1,1.4,1.5
"5","05_Steep2",0.011,0.24,0.05,2.9,2.4,4.7,1.6,2,1.7
"6","06_RecDev",0.015,0.19,0.08,3.2,2.6,3.4,1.1,1.3,1.4
"7","07_NoHistCatch",0.01,0.19,0.05,3.4,2.8,4.9,1.4,1.8,1.6
"8","08_AlternateLH",0.011,0.22,0.05,3.8,3.2,5.5,1.4,1.7,1.6
