"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.007,0.41,0.02,0.8,0.5,2,2.5,4,0.9
"2","02_M1",0.007,0.36,0.02,0.9,0.6,2.1,2.3,3.5,0.8
"3","03_M2",0.007,0.47,0.01,0.8,0.4,1.9,2.4,4.7,0.9
"4","04_Steep1",0.007,0.34,0.02,1,0.5,2.1,2.1,4.2,0.8
"5","05_Steep2",0.007,0.48,0.01,0.7,0.4,1.9,2.7,4.7,0.9
"6","06_RecDev",0.008,0.41,0.02,0.8,0.5,1.9,2.4,3.8,0.9
"7","07_NoHistCatch",0.008,0.41,0.02,0.8,0.4,1.9,2.4,4.7,0.8
"8","08_AlternateLH",0.006,0.52,0.01,0.8,0.4,2.3,2.9,5.7,1.1
