"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.004,0.05,0.08,8.5,7.6,13.3,1.6,1.8,1.6
"2","02_M1",0.004,0.05,0.08,8.6,7.8,11.4,1.3,1.5,1.4
"3","03_M2",0.003,0.06,0.05,8.6,7.8,16.6,1.9,2.1,1.9
"4","04_Steep1",0.004,0.04,0.1,9.3,8.4,13,1.4,1.5,1.4
"5","05_Steep2",0.003,0.06,0.05,7.7,6.9,13.5,1.8,2,1.7
"6","06_RecDev",0.004,0.05,0.08,8.5,7.6,12.2,1.4,1.6,1.5
"7","07_NoHistCatch",0.002,0.05,0.04,17.3,15.6,32,1.8,2.1,3.2
"8","08_AlternateLH",0,0.06,0,190.8,172.1,596.6,3.1,3.5,19.3
