SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390,Fish_100
158,Sphyrna,Hammerhead shark,lewini,Hammerhead shark,Sphyrnidae,0,0,0,0,0,0,0,0,0,1
159,Galeocerdo,Tiger shark,cuvier,Tiger shark,Carcharhinidae,0,0,0,0,0,0,0,0,0,1
160,Multi-genera,Rays,Multi-species,Rays,Myliobatidae,0,0,0,0,0,0,0,0,0,1
161,Diodon,Spiny pufferfish,spp.,Spiny pufferfish,Tetradontidae,0,0,0,0,0,0,0,0,0,1
162,Aetobatis,Eagle ray,narinari,Eagle ray,Myliobatidae,0,0,0,0,0,0,0,0,0,1
170,Gymnothorax,Eels,spp.,Eels,Muraenidae,0,0,0,0,0,0,0,0,0,1
172,Conger,Conger eels,spp.,Conger eels,Congridae,0,0,0,0,0,0,0,0,0,1
173,Conger,White eel,cinereus,White eel,Congridae,0,0,0,0,0,0,0,0,0,1
174,Gymnothorax,Spotted moray eels,spp.,Spotted moray eels,Muraenidae,0,0,0,0,0,0,0,0,0,1
175,Enchelycore,Dragon eel,pardalis,Dragon eel,Muraenidae,0,0,0,0,0,0,0,0,0,1
176,"Gymnothorax, Muraena",Moray eels,spp.,Moray eels,Muraenidae,0,0,0,0,0,0,0,0,0,1
180,Chanos,Milkfish,chanos,Milkfish,Chanidae,0,0,0,0,0,0,0,0,0,1
182,Platax,"Batfishes, Spadefishes",spp.,"Batfishes, Spadefishes",Ephippidae,0,0,0,0,0,0,0,0,0,1
185,Plesiops,Prettyfins,spp.,Prettyfins,Plesiopidae,0,0,0,0,0,0,0,0,0,1
186,Caracanthus,Coral crouchers,unipinna,Coral crouchers,Caracanthidae,0,0,0,0,0,0,0,0,0,1
187,Anomalops,Flashlightfish,kaptoptron,Flashlightfish,Anomalopidae,0,0,0,0,0,0,0,0,0,1
188,Encrasicholina,Anchovies,spp.,Anchovies,Engraulidae,0,0,0,0,0,0,0,0,0,1
189,"Antennarius, Antennatus",Frogfishes,spp.,Frogfishes,Antennariidae,0,0,0,0,0,0,0,0,0,1
190,"Ictalurus, Clarias",Catfish (aqua & imp),"punctatus, spp.",Catfish (aqua & imp),"Ictaluridae, Clariid",0,0,0,0,0,0,0,0,0,1
200,Multi-genera,Bottomfishes (unknown),Multi-species,Bottomfishes (unknown),Multi-family,0,0,1,0,0,0,0,0,0,1
