Year,ONI,Mon,month_num
2001,-0.13,Jul,7
2002,0.86,Jul,7
2003,0.21,Jul,7
2004,0.64,Jul,7
2005,-0.14,Jul,7
2006,0.3,Jul,7
2007,-0.81,Jul,7
2008,-0.23,Jul,7
2009,0.58,Jul,7
2010,-1.35,Jul,7
2011,-0.62,Jul,7
2012,0.37,Jul,7
2013,-0.32,Jul,7
2014,0.07,Jul,7
2015,1.86,Jul,7
2016,-0.54,Jul,7
2017,-0.11,Jul,7
2018,0.23,Jul,7
2019,0.14,Jul,7
2020,-0.57,Jul,7
1988,-1.11,Aug,8
1989,-0.27,Aug,8
1990,0.38,Aug,8
1991,0.64,Aug,8
1992,0.09,Aug,8
1993,0.25,Aug,8
1994,0.43,Aug,8
1995,-0.54,Aug,8
1996,-0.32,Aug,8
1997,1.9,Aug,8
1998,-1.12,Aug,8
1999,-1.11,Aug,8
2000,-0.51,Aug,8
2001,-0.13,Aug,8
2002,0.86,Aug,8
2003,0.21,Aug,8
2004,0.64,Aug,8
2005,-0.14,Aug,8
2006,0.3,Aug,8
2007,-0.81,Aug,8
2008,-0.23,Aug,8
2009,0.58,Aug,8
2010,-1.35,Aug,8
2011,-0.62,Aug,8
2012,0.37,Aug,8
2013,-0.32,Aug,8
2014,0.07,Aug,8
2015,1.86,Aug,8
2016,-0.54,Aug,8
2017,-0.11,Aug,8
2018,0.23,Aug,8
2019,0.14,Aug,8
2020,-0.57,Aug,8
1988,-1.11,Sep,9
1989,-0.27,Sep,9
1990,0.38,Sep,9
1991,0.64,Sep,9
1992,0.09,Sep,9
1993,0.25,Sep,9
1994,0.43,Sep,9
1995,-0.54,Sep,9
1996,-0.32,Sep,9
1997,1.9,Sep,9
1998,-1.12,Sep,9
1999,-1.11,Sep,9
2000,-0.51,Sep,9
2001,-0.13,Sep,9
2002,0.86,Sep,9
2003,0.21,Sep,9
2004,0.64,Sep,9
2005,-0.14,Sep,9
2006,0.3,Sep,9
2007,-0.81,Sep,9
2008,-0.23,Sep,9
2009,0.58,Sep,9
2010,-1.35,Sep,9
2011,-0.62,Sep,9
2012,0.37,Sep,9
2013,-0.32,Sep,9
2014,0.07,Sep,9
2015,1.86,Sep,9
2016,-0.54,Sep,9
2017,-0.11,Sep,9
2018,0.23,Sep,9
2019,0.14,Sep,9
2020,-0.57,Sep,9
1988,-1.8,Oct,10
1989,-0.16,Oct,10
1990,0.4,Oct,10
1991,1.21,Oct,10
1992,-0.28,Oct,10
1993,0.04,Oct,10
1994,1.01,Oct,10
1995,-1,Oct,10
1996,-0.45,Oct,10
1997,2.4,Oct,10
1998,-1.48,Oct,10
1999,-1.46,Oct,10
2000,-0.75,Oct,10
2001,-0.35,Oct,10
2002,1.31,Oct,10
2003,0.35,Oct,10
2004,0.66,Oct,10
2005,-0.57,Oct,10
2006,0.94,Oct,10
2007,-1.5,Oct,10
2008,-0.55,Oct,10
2009,1.36,Oct,10
2010,-1.64,Oct,10
2011,-1.09,Oct,10
2012,0.05,Oct,10
2013,-0.17,Oct,10
2014,0.64,Oct,10
2015,2.57,Oct,10
2016,-0.67,Oct,10
2017,-0.84,Oct,10
2018,0.9,Oct,10
2019,0.51,Oct,10
2020,-1.27,Oct,10
1988,-1.8,Nov,11
1989,-0.16,Nov,11
1990,0.4,Nov,11
1991,1.21,Nov,11
1992,-0.28,Nov,11
1993,0.04,Nov,11
1994,1.01,Nov,11
1995,-1,Nov,11
1996,-0.45,Nov,11
1997,2.4,Nov,11
1998,-1.48,Nov,11
1999,-1.46,Nov,11
2000,-0.75,Nov,11
2001,-0.35,Nov,11
2002,1.31,Nov,11
2003,0.35,Nov,11
2004,0.66,Nov,11
2005,-0.57,Nov,11
2006,0.94,Nov,11
2007,-1.5,Nov,11
2008,-0.55,Nov,11
2009,1.36,Nov,11
2010,-1.64,Nov,11
2011,-1.09,Nov,11
2012,0.05,Nov,11
2013,-0.17,Nov,11
2014,0.64,Nov,11
