"SPECIES_FK","SCIENTIFIC_NAME","COMMON_NAME","LOCAL_NAME"
"244","Pristipomoides argyrogrammicus","Blue lined gindai","Palu tusimoana"
"245","Pristipomoides zonatus","Flower snapper (gindai)","Palu sega"
"246","Pristipomoides auricilla","Goldflag jobfish","Palui iusama,  Palu ave"
"247","Aphareus rutilans","Silverjaw jobfish (lehi)","Palu gutusiliva, Palu makomako"
"248","Etelis coruscans","Longtail snapper (onaga)","Palu loa, Palu atu, Palu malau"
"249","Etelis carbunculus","Ruby snapper (ehu)","Palu malau"
"250","Pristipomoides multidens","Multidens snapper","Palu sina ugatele"
"251","Macolor niger","Black snapper","Matalaoa"
"252","Paracaesio stonei","Stone's snapper","Palu mutu"
"253","Paracaesio kusakarii","Kusakar's snapper","Palu tuauli"
"254","Monotaxis grandoculis","Bigeye bream","Mu matavaivai"
"255","Gnathodentex aureolineatus","Goldenline bream","Mumu (Bream)"
"256","Etelis radiosus","Scarlet snapper","NULL"
"257","Lutjanus timorensis","Timor snapper","Malai paepae (Timor)"
"260","Multi-genera Multi-species","Emperors","Filoa (Emperors)"
"2601","Lethrinus miniatus","Sweetlip emperor","NULL"
"261","Lethrinus elongatus","Longnose emperor","Filoa vaa"
"262","Lethrinus amboinensis","Ambon emperor","Filoa gutumumu"
"263","Gymnocranius grandoculis","Blueline bream","Filoa gutupuu"
"264","Gnathodentex aurolineatus","Yellowspot emperor","Pagea"
"266","Lethrinus erythracanthus","Orangespot emperor","Filoa apamumu"
"267","Lethrinus rubrioperculatus","Redgill emperor","Filoa paoomumu. filoa ulutele"
"291","Promethichthys prometheus","Snake mackerel","Palu kamuro (Snake Mack)"
"292","Ruvettus pretiosus, marleyi","Oilfish","Palu talatal"
"293","Tarachtichthys steindachneri","Pomfret","Manifi moana"
"300","Multi-genera Multi-species","Reef fishes (unknown)","NULL"
"303","Kyphosus cinerascens","Rudderfish (cinerascens)","Mata mutu"
"3031","Kyphosus vaigiensis","Lowfin drummer","NULL"
"3033","Kyphosus biggibus","Rudderfish (biggibus)","Nanue"
"3034","Kyphosus spp","Rudderfishes","Gague"
"310","Siganus spp.","Rabbitfishes","Lo"
"3101","Siganus aregenteus","Forktail rabbitfish","Loloa"
"311","Siganus spinus","Scribbled rabbitfish","Paulu"
"315","Multi-genera Multi-species","Cardinalfish","Fo"
"318","Abudefduf spp.","Sergeant major","Mutu, Muku"
"3191","Cirrhitus pinnalatus","Stocky hawkfish","Ulutui"
"320","Acanthurus spp.","Surgeonfishes/tangs","NULL"
