Year,ENSO,Mon,month_num
2000,-0.33,Jul,7
2001,0.16,Jul,7
2002,0.695,Jul,7
2003,0.01,Jul,7
2004,0.585,Jul,7
2005,-0.015,Jul,7
2006,0.335,Jul,7
2007,-0.85,Jul,7
2008,-0.975,Jul,7
2009,0.505,Jul,7
2010,-2.415,Jul,7
2011,-0.87,Jul,7
2012,0.12,Jul,7
2013,-0.675,Jul,7
2014,0.24,Jul,7
2015,1.825,Jul,7
2016,-0.395,Jul,7
2017,-0.735,Jul,7
2018,0.095,Jul,7
2019,0.27,Jul,7
2020,-0.995,Jul,7
1988,-1.78,Aug,8
1989,-0.67,Aug,8
1990,0.135,Aug,8
1991,0.52,Aug,8
1992,0.29,Aug,8
1993,0.63,Aug,8
1994,0.95,Aug,8
1995,-0.755,Aug,8
1996,-0.43,Aug,8
1997,2.185,Aug,8
1998,-1.525,Aug,8
1999,-1.12,Aug,8
2000,-0.22,Aug,8
2001,0.135,Aug,8
2002,0.905,Aug,8
2003,0.075,Aug,8
2004,0.64,Aug,8
2005,-0.03,Aug,8
2006,0.595,Aug,8
2007,-1.015,Aug,8
2008,-1.075,Aug,8
2009,0.455,Aug,8
2010,-2.34,Aug,8
2011,-1.02,Aug,8
2012,-0.19,Aug,8
2013,-0.44,Aug,8
2014,0.005,Aug,8
2015,2.065,Aug,8
2016,-0.31,Aug,8
2017,-0.785,Aug,8
2018,0.44,Aug,8
2019,0.225,Aug,8
2020,-1.09,Aug,8
1988,-1.655,Sep,9
1989,-0.585,Sep,9
1990,0.075,Sep,9
1991,0.855,Sep,9
1992,0.655,Sep,9
1993,0.795,Sep,9
1994,1.265,Sep,9
1995,-0.755,Sep,9
1996,-0.285,Sep,9
1997,2.09,Sep,9
1998,-1.26,Sep,9
1999,-1.24,Sep,9
2000,-0.455,Sep,9
2001,-0.16,Sep,9
2002,0.815,Sep,9
2003,0.2,Sep,9
2004,0.44,Sep,9
2005,-0.38,Sep,9
2006,0.655,Sep,9
2007,-1.12,Sep,9
2008,-1.095,Sep,9
2009,0.475,Sep,9
2010,-2.23,Sep,9
2011,-1.265,Sep,9
2012,-0.27,Sep,9
2013,-0.27,Sep,9
2014,-0.04,Sep,9
2015,2.16,Sep,9
2016,-0.47,Sep,9
2017,-0.715,Sep,9
2018,0.465,Sep,9
2019,0.21,Sep,9
2020,-1.195,Sep,9
1988,-1.575,Oct,10
1989,-0.445,Oct,10
1990,0.03,Oct,10
1991,1.13,Oct,10
1992,0.77,Oct,10
1993,0.825,Oct,10
1994,1.23,Oct,10
1995,-0.66,Oct,10
1996,-0.305,Oct,10
1997,2.035,Oct,10
1998,-1.255,Oct,10
1999,-1.32,Oct,10
2000,-0.73,Oct,10
2001,-0.285,Oct,10
2002,0.775,Oct,10
2003,0.275,Oct,10
2004,0.425,Oct,10
2005,-0.73,Oct,10
2006,0.79,Oct,10
2007,-1.135,Oct,10
2008,-1.085,Oct,10
2009,0.805,Oct,10
2010,-2.11,Oct,10
2011,-1.29,Oct,10
2012,-0.145,Oct,10
2013,-0.17,Oct,10
2014,0.205,Oct,10
2015,1.995,Oct,10
2016,-0.555,Oct,10
2017,-0.63,Oct,10
2018,0.335,Oct,10
2019,0.36,Oct,10
2020,-1.175,Oct,10
1988,-1.55,Nov,11
1989,-0.175,Nov,11
1990,0.2,Nov,11
1991,1.23,Nov,11
1992,0.755,Nov,11
1993,0.48,Nov,11
1994,0.93,Nov,11
1995,-0.745,Nov,11
1996,-0.375,Nov,11
1997,2.045,Nov,11
1998,-1.275,Nov,11
1999,-1.38,Nov,11
2000,-0.855,Nov,11
2001,-0.15,Nov,11
2002,0.81,Nov,11
2003,0.195,Nov,11
2004,0.51,Nov,11
2005,-0.74,Nov,11
2006,0.745,Nov,11
2007,-1.175,Nov,11
2008,-1.05,Nov,11
2009,1.005,Nov,11
2010,-1.975,Nov,11
2011,-1.225,Nov,11
2012,-0.07,Nov,11
2013,-0.265,Nov,11
2014,0.34,Nov,11
2015,1.89,Nov,11
2016,-0.425,Nov,11
2017,-0.68,Nov,11
2018,0.195,Nov,11
2019,0.43,Nov,11
2020,-1.155,Nov,11
1988,-1.29,Dec,12
1989,0.05,Dec,12
1990,0.22,Dec,12
1991,1.495,Dec,12
1992,0.805,Dec,12
1993,0.14,Dec,12
1994,0.82,Dec,12
1995,-0.825,Dec,12
1996,-0.555,Dec,12
1997,2.13,Dec,12
1998,-1.255,Dec,12
1999,-1.345,Dec,12
2000,-0.81,Dec,12
2001,0.045,Dec,12
2002,0.83,Dec,12
2003,0.13,Dec,12
2004,0.295,Dec,12
2005,-0.705,Dec,12
2006,0.605,Dec,12
2007,-1.15,Dec,12
2008,-1.03,Dec,12
2009,0.945,Dec,12
2010,-1.87,Dec,12
2011,-1.16,Dec,12
2012,-0.06,Dec,12
2013,-0.43,Dec,12
2014,0.285,Dec,12
2015,1.92,Dec,12
2016,-0.375,Dec,12
2017,-0.75,Dec,12
2018,0.105,Dec,12
2019,0.35,Dec,12
2020,-1.18,Dec,12
