"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.004,0.43,0.01,0.8,0.5,2.1,2.6,4.2,0.5
"2","02_M1",0.005,0.4,0.01,0.7,0.5,1.8,2.6,3.6,0.4
"3","03_M2",0.003,0.47,0.01,0.9,0.6,2.5,2.8,4.2,0.6
"4","04_Steep1",0.004,0.37,0.01,0.9,0.5,2.1,2.3,4.2,0.4
"5","05_Steep2",0.004,0.49,0.01,0.7,0.5,2.1,3,4.2,0.5
"6","06_RecDev",0.005,0.43,0.01,0.7,0.5,1.9,2.7,3.8,0.4
"7","07_NoHistCatch",0.004,0.43,0.01,0.8,0.5,2.2,2.8,4.4,0.5
"8","08_AlternateLH",0.003,0.45,0.01,1.1,0.7,3.2,2.9,4.6,0.7
"9","09_NoHermaphro",0.004,0.33,0.01,0.5,0.3,1.5,3,5,0.4
