"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.001,0.19,0.01,0.8,0.6,2.1,2.6,3.5,0.4
"2","02_M1",0.001,0.18,0.01,0.9,0.7,2.3,2.6,3.3,0.4
"3","03_M2",0.001,0.21,0,0.7,0.6,1.9,2.7,3.2,0.4
"4","04_Steep1",0.001,0.16,0.01,0.9,0.7,2.1,2.3,3,0.3
"5","05_Steep2",0.001,0.22,0,0.7,0.6,2.1,3,3.5,0.4
"6","06_RecDev",0.001,0.2,0,0.8,0.6,1.8,2.2,3,0.4
"7","07_NoHistCatch",0.002,0.19,0.01,0.6,0.5,1.5,2.5,3,0.3
"8","08_AlternateLH",0.001,0.19,0.01,0.9,0.7,2.3,2.6,3.3,0.4
