"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.001,0.14,0.01,6.1,5,15.6,2.6,3.1,2.2
"2","02_M1",0.002,0.12,0.02,4.3,3.6,8.2,1.9,2.3,1.3
"3","03_M2",0,0.15,0,19.2,15.3,63,3.3,4.1,7.7
"4","04_Steep1",0.001,0.12,0.01,6.6,5.4,15.4,2.3,2.9,2
"5","05_Steep2",0.001,0.16,0.01,5.5,4.5,15.8,2.9,3.5,2.4
"6","06_RecDev",0.001,0.14,0.01,5.9,4.9,14.5,2.5,3,2.1
"7","07_NoHistCatch",0.001,0.14,0.01,6.2,5.1,15.9,2.6,3.1,2.2
"8","08_AlternateLH",0,0.25,0,38,25.1,141.8,3.7,5.6,32.8
