"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.005,1.2,0,3.4,1.7,13,3.8,7.6,8.3
"2","02_M1",0.006,1,0.01,3,1.5,11.2,3.7,7.5,6.3
"3","03_M2",0.004,1.44,0,3.8,1.9,15.1,4,7.9,10.8
"4","04_Steep1",0.005,0.91,0.01,3.9,1.9,13.1,3.4,6.9,7.3
"5","05_Steep2",0.005,1.62,0,2.9,1.5,13,4.5,8.7,9.2
"6","06_RecDev",0.006,1.2,0,3.3,1.7,10.1,3.1,5.9,8.1
"7","07_NoHistCatch",0.006,1.2,0,2.9,1.5,11,3.8,7.3,7
"8","08_AlternateLH",0.003,2.58,0,8.7,4.4,33.5,3.9,7.6,20.8
