"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.002,0.23,0.01,1.2,1,3.3,2.8,3.3,0.6
"2","02_M1",0.002,0.21,0.01,1.2,1,2.7,2.3,2.7,0.5
"3","03_M2",0.001,0.25,0,1.4,1.1,4,2.9,3.6,0.8
"4","04_Steep1",0.002,0.19,0.01,1.4,1.1,3.3,2.4,3,0.6
"5","05_Steep2",0.002,0.27,0.01,1.1,0.9,3.2,2.9,3.6,0.7
"6","06_RecDev",0.002,0.23,0.01,1.2,0.9,2.5,2.1,2.8,0.6
"7","07_NoHistCatch",0.001,0.23,0,1.4,1.1,3.7,2.6,3.4,0.7
"8","08_AlternateLH",0.002,0.2,0.01,1.1,0.8,2.8,2.5,3.5,0.6
